system:time_start;0;GPP
Jun 10;2017;495.159
Jun 18;2017;520.574
Jun 26;2017;533.457
Jul 4;2017;518.683
Jul 12;2017;556.945
Jul 20;2017;624.145
Jul 28;2017;630.471
Aug 5;2017;599.995
Aug 13;2017;490.957
Aug 21;2017;647.219
Aug 29;2017;741.424
Sep 6;2017;817.997
Sep 14;2017;837.166
Sep 22;2017;740.484
Sep 30;2017;636.866
Oct 8;2017;776.035
Oct 16;2017;692.886
Oct 24;2017;622.385
Nov 1;2017;691.520
Nov 9;2017;860.048
Nov 17;2017;775.729
Nov 25;2017;782.101
Dec 3;2017;897.366
Dec 11;2017;989.665
Dec 19;2017;824.598
Dec 27;2017;301.559
Jan 1;2018;651.600
Jan 9;2018;694.112
Jan 17;2018;843.461
Jan 25;2018;809.984
Feb 2;2018;696.694
Feb 10;2018;681.377
Feb 18;2018;633.403
Feb 26;2018;729.230
Mar 6;2018;754.872
Mar 14;2018;706.961
Mar 22;2018;882.978
Mar 30;2018;658.693
Apr 7;2018;740.071
Apr 15;2018;654.391
Apr 23;2018;706.484
May 1;2018;668.106
May 9;2018;607.029
May 17;2018;560.722
May 25;2018;569.585
Jun 2;2018;391.292
Jun 10;2018;408.371
Jun 18;2018;528.303
Jun 26;2018;580.548
Jul 4;2018;518.557
Jul 12;2018;595.862
Jul 20;2018;601.266
Jul 28;2018;486.358
Aug 5;2018;546.834
Aug 13;2018;621.392
Aug 21;2018;578.803
Aug 29;2018;702.830
Sep 6;2018;747.565
Sep 14;2018;443.355
Sep 22;2018;828.012
Sep 30;2018;614.897
Oct 8;2018;601.550
Oct 16;2018;769.703
Oct 24;2018;827.239
Nov 1;2018;715.196
Nov 9;2018;852.056
Nov 17;2018;687.983
Nov 25;2018;849.334
Dec 3;2018;1016.466
Dec 11;2018;1004.409
Dec 19;2018;765.477
Dec 27;2018;570.691
Jan 1;2019;786.598
Jan 9;2019;983.587
Jan 17;2019;772.080
Jan 25;2019;794.806
Feb 2;2019;663.500
Feb 10;2019;658.331
Feb 18;2019;636.853
Feb 26;2019;597.473
Mar 6;2019;654.709
Mar 14;2019;545.323
Mar 22;2019;811.996
Mar 30;2019;725.884
Apr 7;2019;649.396
Apr 15;2019;718.240
Apr 23;2019;674.622
May 1;2019;606.935
May 9;2019;508.159
May 17;2019;502.790
May 25;2019;588.930
Jun 2;2019;518.552
Jun 10;2019;587.203
Jun 18;2019;564.762
Jun 26;2019;520.959
Jul 4;2019;467.544
Jul 12;2019;508.681
Jul 20;2019;624.278
Jul 28;2019;532.504
Aug 5;2019;629.153
Aug 13;2019;540.880
Aug 21;2019;587.435
Aug 29;2019;613.111
Sep 6;2019;698.112
Sep 14;2019;637.403
Sep 22;2019;625.457
Sep 30;2019;903.671
Oct 8;2019;749.882
Oct 16;2019;835.866
Oct 24;2019;825.626
Nov 1;2019;692.994
Nov 9;2019;625.947
Nov 17;2019;770.695
Nov 25;2019;874.081
Dec 3;2019;844.970
Dec 11;2019;800.185
Dec 19;2019;706.217
Dec 27;2019;695.982
Jan 1;2020;811.861
Jan 9;2020;797.278
Jan 17;2020;688.583
Jan 25;2020;815.408
Feb 2;2020;590.699
Feb 10;2020;654.026
Feb 18;2020;894.309
Feb 26;2020;528.864
Mar 5;2020;923.797
Mar 13;2020;839.730
Mar 21;2020;816.355
Mar 29;2020;683.857
Apr 6;2020;750.701
